P1;P2;P3;P4;P5;P6;T_Final
174;265;376;408;568;732;802
227;355;502;542;739;939;1032
235;362;516;563;826;1135;1297
152;233;355;388;551;701;773
236;360;509;550;781;1002;1137
223;356;506;548;770;950;1039
218;327;456;494;690;858;945
172;257;357;386;509;625;682
160;246;347;375;511;659;726
189;299;435;473;663;830;925
235;355;515;555;755;923;1012
203;313;445;482;680;844;930
186;282;395;422;570;713;779
171;258;363;392;548;684;757
195;289;392;419;567;709;780
171;252;349;376;513;631;687
159;235;328;354;485;603;671
189;286;411;444;637;816;909
215;331;460;496;693;877;958
235;348;473;510;706;882;964
206;314;436;468;628;780;858
211;320;451;485;686;887;988
131;201;296;318;420;528;584
176;271;388;421;588;750;831
201;304;422;452;606;754;823
229;356;502;540;752;978;1074
261;404;567;615;865;1105;1214
218;341;474;511;735;941;1035
254;397;551;599;876;1088;1180
195;301;422;458;654;793;866
186;280;393;423;570;715;787
187;282;383;413;577;724;807
140;204;281;303;410;512;566
215;355;501;535;766;1002;1118
221;337;471;507;695;865;949
157;238;335;363;504;631;769
206;314;436;468;615;768;840
197;284;388;419;569;697;769
243;364;501;546;810;1036;1132
172;262;369;401;545;686;752
255;397;569;615;858;1088;1195
255;408;581;635;886;1144;1279
176;257;356;383;504;631;699
159;241;337;364;489;596;662
208;329;452;486;659;797;875
139;206;283;306;410;516;575
201;306;443;480;684;856;943
